sentences; annotated meaning;trigger;syntactic pattern; concept studied; focused relations
deu lhe o;  (PHYSICAL-OBJECT ?Z) (HIM ?Z) (PHYSICAL-OBJECT ?W) (HIM ?W) (GIVE ?X) (GIVEE ?X ?W) (GIVER ?X ?ACTOR) (GIFT ?X ?Z) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?W);enclisis;V-IO-DO; cliticization; ?Z ?W 
deu nos o;  (PHYSICAL-OBJECT ?Z)  (HIM ?Z) (PERSON ?W) (WE ?W) (GIVE ?X) (GIVEE ?X ?W) (GIVER ?X ?ACTOR) (GIFT ?X ?Z) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?W);enclisis;V-IO-DO; cliticization; ?Z ?W
disse me o; (PHYSICAL-OBJECT ?Z) (HIM ?Z) (PERSON ?W) (ME ?W) (SAY ?X) (SAYEE ?X ?W) (SAYER ?X ?ACTOR) (SAYING ?X ?Z) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?W);enclisis;V-IO-DO; cliticization; ?Z ?W  
ontem vi te;  (PERSON ?Z) (YOU ?Z) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-ME ?EVENT ?ACTOR) (SEER ?X ?ACTOR) (SEEN ?X ?Z) (SEE ?X) (YESTERDAY ?X);enclisis;Adv-V-DO; adverb usage; ?Z
nada me deram; (NOTHING ?Z) (PERSON ?W) (ME ?W) (GIVE ?X) (GIVEE ?X ?W) (GIVER ?X ?ACTOR) (GIFT ?X ?Z)  (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?Z);fronted focus;DO-IO-V;fronted focus; ?Z
alguem me ajudou; (SOMEBODY ?ACTOR) (TOPIC ?X ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (HELPER ?X ?ACTOR) (HELPED ?X ?W) (HELP ?X) (PERSON ?W) (ME ?W);undefined-subject;S-DO-V; undefined pronoun; ?W
ninguem o ajudou;  (NOBODY ?ACTOR) (TOPIC ?X ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (HELPER ?X ?ACTOR) (HELPED ?X ?W) (HELP ?X) (PERSON ?W) (HIM ?W);undefined-subject;S-DO-V; undefined pronoun; ?W
alguem as ofereceu;  (SOMEBODY ?ACTOR) (TOPIC ?X ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (OFFERER ?X ?ACTOR) (OFFERANCE ?X ?Z) (OFFER ?X) (OFFEREE ?X ?W) (PHYSICAL-OBJECT ?Z) (THEY-FEMININE ?Z);undefined-subject;S-DO-V; undefined pronoun; ?Z
a maria viu o;  (MARIA ?ACTOR) (PERSON ?ACTOR) (TOPIC ?X ?ACTOR) (UNIQUE ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (SEER ?X ?ACTOR) (SEEN ?X ?Z) (SEE ?X) (PHYSICAL-OBJECT ?Z) (HIM ?Z);enclisis;S-V-DO; cliticization; ?Z
tu compras o bolo;  (YOU ?ACTOR) (PERSON ?ACTOR) (TOPIC ?X ?ACTOR) (UNIQUE ?Z) (CAKE ?Z) (SINGLE ?Z) (BUY ?X) (BOUGHT ?X ?Z) (BUYER ?X ?ACTOR) (ACT-DONE-BY-YOU ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (OVERLAPS ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?Z);enclisis;S-V-DO; direct object;
isso lhe disse eu;  (PHYSICAL-OBJECT ?W) (HIM ?W) (REFERENT-CLOSE-TO-YOU ?Z) (TOPIC ?X ?Z) (PERSON ?ACTOR) (ME ?ACTOR) (SAY ?X) (SAYEE ?X ?W) (SAYER ?X ?ACTOR) (SAYING ?X ?Z) (ACT-DONE-BY-ME ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?ACTOR);fronted focus;DO-IO-V-S; fronted focus; ?W ?ACTOR ?Z
isso disse lhe eu;  (PHYSICAL-OBJECT ?W) (HIM ?W) (PERSON ?ACTOR) (ME ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (SAYING ?X ?Z) (SAYER ?X ?ACTOR) (SAYEE ?X ?W) (SAY ?X) (REFERENT-CLOSE-TO-YOU ?Z) (TOPIC ?X ?ACTOR) (PREDICATE-FOCUS ?X ?Z);fronted topic (comma);DO-V-IO-S; fronted topic; ?W
eu penso convidar a; (PHYSICAL-OBJECT ?I) (HER ?I) (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-ME ?EVENT ?ACTOR) (THINKING ?X ?V) (THINKER ?X ?ACTOR) (THINKEE ?X ?W) (THINK ?X) (INVITE ?V) (INVITER ?V ?ACTOR) (INVITATION ?V ?I) (ME ?ACTOR) (PERSON ?ACTOR) (TOPIC ?X ?ACTOR) (PREDICATE-FOCUS ?X ?I);enclisis;S-V-INF-DO; complex verbs; ?I 
o_que lhes contaste;  (UNDEFINED-THING ?Z) (TOPIC ?X ?Z) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-YOU ?EVENT ?ACTOR) (TELLING ?X ?Z) (TELLER ?X ?ACTOR) (TELLEE ?X ?W) (TELL ?X) (PHYSICAL-OBJECT ?W) (THEY-FEMININE ?W);wh question;DO-IO-V; wh question; ?Z ?W
contaste lhes o_que;  (UNDEFINED-THING ?Z) (PHYSICAL-OBJECT ?W) (THEY-FEMININE ?W) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-YOU ?EVENT ?ACTOR) (TELLING ?X ?Z) (TELLER ?X ?ACTOR) (TELLEE ?X ?W) (TELL ?X) (PREDICATE-FOCUS ?X ?Z);enclisis;V-IO-DO; wh question; ?Z ?W  
a_quem os entregaste;  (UNDEFINED-REFERENT ?W) (TOPIC ?X ?W) (PHYSICAL-OBJECT ?Z) (THEY-MASCULINE ?Z) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-YOU ?EVENT ?ACTOR) (DELIVERED ?X ?Z) (DELIVERER ?X ?ACTOR) (DELIVEREE ?X ?W) (DELIVER ?X);wh question;IO-DO-V; wh question; ?w ?Z  
e possivel convidar a;  (OVERLAPS ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (PERSON-BEING ?X ?V) (BE-PERMANENT ?X) (INVITE ?V) (INVITER ?V ?ACTOR) (INVITATION ?V ?I) (PHYSICAL-OBJECT ?I) (HER ?I) (POSSIBLE ?X);enclisis;V-Compl-INF-DO; possibility; ?I  
telefonou lhe o paulo;  (PHYSICAL-OBJECT ?W) (HIM ?W) (UNIQUE ?ACTOR) (PERSON ?ACTOR) (PAULO ?ACTOR) (CALL ?X) (CALLED ?X ?W) (CALLER ?X ?ACTOR) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?ACTOR);enclisis;V-IO-S; unfronted subject; ?W ?ACTOR 
o paulo telefonou lhe;  (UNIQUE ?ACTOR) (PAULO ?ACTOR) (PERSON ?ACTOR) (TOPIC ?X ?ACTOR)  (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (CALLER ?X ?ACTOR) (CALLED ?X ?W) (CALL ?X) (PHYSICAL-OBJECT W) (HIM W);enclisis;S-V-IO; cliticization; ?ACTOR ?W  
os rapazes ajudaram me;  (MULTIPLE ?ACTOR) (BOYS ?ACTOR) (TOPIC ?X ?ACTOR) (UNIQUE ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (HELPED ?X ?Z) (HELPER ?X ?ACTOR) (HELP ?X) (PERSON ?Z) (ME ?Z);enclisis;S-V-DO; cliticization; ?ACTOR ?Z
muitos rapazes me ajudaram;  (MULTIPLE ?ACTOR) (BOYS ?ACTOR) (TOPIC ?X ?ACTOR) (MANY ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (HELPED ?X ?Z) (HELPER ?X ?ACTOR) (HELP ?X) (PERSON ?Z) (ME ?Z);downward quantifier;S-DO-V; quantified subject; ?ACTOR ?Z  
poucos rapazes me ajudaram;  (MULTIPLE ?ACTOR) (BOYS ?ACTOR) (TOPIC ?X ?ACTOR) (FEW ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (HELPED ?X ?Z) (HELPER ?X ?ACTOR) (HELP ?X) (PERSON ?Z) (ME ?Z);downward quantifier;S-DO-V; quantified subject; ?ACTOR ?Z  
alguns rapazes ajudaram me;  (MULTIPLE ?ACTOR) (BOYS ?ACTOR) (TOPIC ?X ?ACTOR) (SOME ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (HELPED ?X ?Z) (HELPER ?X ?ACTOR) (HELP ?X) (PERSON ?Z) (ME ?Z);enclisis;S-V-DO; quantified subject; ?ACTOR ?Z  
muitos rapazes ajudaram me;  (MULTIPLE ?ACTOR) (BOYS ?ACTOR) (TOPIC ?X ?ACTOR) (MANY ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (HELPED ?X ?Z) (HELPER ?X ?ACTOR) (HELP ?X) (PERSON ?Z) (ME ?Z);enclisis;S-V-DO;quantified subject; ?ACTOR ?Z  
