downward quantifier;enclisis;fronted focus;negation;operator adverb;relative clause;undefined-subject;wh-question
 0.79 ; 0.45 ; 0.80 ; 0.23 ; 0.72 ;  0.11 ; 0.82 ; 0.69 
 0.80 ; 0.34 ; 0.79 ;  0.17 ; 0.23 ; 0.20 ; 0.38 ; 0.36 
 0.80 ; 0.36 ;  0.20 ;  0.37 ;  0.56 ;  0.44 ; 0.36 ; 0.85 
  0.09 ; 1.00 ;  0.17 ;;; 0.60 ;; 0.14 
; 0.34 ;  0.14 ;;;;; 0.26 
; 0.69 ;  0.07 ;;;;;
;  0.21 ;  0.08 ;;;;;
; 0.79 ;  0.08 ;;;;;
;  0.38 ;;;;;;
; 0.79 ;;;;;;
; 0.79 ;;;;;;
; 0.79 ;;;;;;
; 0.79 ;;;;;;
; 0.79 ;;;;;;
; 0.79 ;;;;;;
; 0.38 ;;;;;;
; 0.78 ;;;;;;
;  0.64 ;;;;;;
; 0.13 ;;;;;;
;  0.11 ;;;;;;
;  0.14 ;;;;;;
; 0.28 ;;;;;;
;  0.13 ;;;;;;
