downward quantifier;enclisis;fronted focus;negation;operator adverb;relative clause;undefined-subject;wh-question
 0.79 ; 0.40 ; 0.80 ; 0.40 ; 0.82 ; 0.25 ; 0.56 ; 0.82 
 0.80 ; 0.30 ; 0.34 ; 0.26 ; 0.30 ; 0.01 ; 0.27 ; 0.47 
 0.75 ; 0.21 ; 0.19 ; 0.64 ; 0.29 ; 0.07 ; 0.47 ; 0.85 
 0.16 ; 0.82 ; 0.10 ;;; 0.02 ;; 0.62 
; 0.42 ; 0.05 ;;;;; 0.60 
; 0.58 ; 0.08 ;;;;;
; 0.21 ; 0.20 ;;;;;
; 0.82 ; 0.06 ;;;;;
; 0.50 ;;;;;;
; 1.00 ;;;;;;
; 0.85 ;;;;;;
; 0.79 ;;;;;;
; 0.79 ;;;;;;
; 0.79 ;;;;;;
; 0.73 ;;;;;;
; 0.54 ;;;;;;
; 0.82 ;;;;;;
; 0.19 ;;;;;;
; 0.54 ;;;;;;
; 0.25 ;;;;;;
; 0.14 ;;;;;;
; 0.68 ;;;;;;
; 0.68 ;;;;;;
