sentences, annotated meaning,trigger,syntactic pattern, focused relations,efficiency-comprehension,efficiency-formulation,normal sscore,specific sscore,lcs
deu lhe o,  (PHYSICAL-OBJECT ?Z) (HIM ?Z) (PHYSICAL-OBJECT ?W) (HIM ?W) (GIVE ?X) (GIVEE ?X ?W) (GIVER ?X ?ACTOR) (GIFT ?X ?Z) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?W),enclisis,V-IO-DO, ?Z ?W ,0.45,0.4,1,1,1
deu nos o,  (PHYSICAL-OBJECT ?Z)  (HIM ?Z) (PERSON ?W) (WE ?W) (GIVE ?X) (GIVEE ?X ?W) (GIVER ?X ?ACTOR) (GIFT ?X ?Z) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?W),enclisis,V-IO-DO, ?Z ?W,0.34,0.3,1,1,1
disse me o, (PHYSICAL-OBJECT ?Z) (HIM ?Z) (PERSON ?W) (ME ?W) (SAY ?X) (SAYEE ?X ?W) (SAYER ?X ?ACTOR) (SAYING ?X ?Z) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?W),enclisis,V-IO-DO, ?Z ?W  ,0.36,0.21,1,1,1
ontem vi te,  (PERSON ?Z) (YOU ?Z) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-ME ?EVENT ?ACTOR) (SEER ?X ?ACTOR) (SEEN ?X ?Z) (SEE ?X) (YESTERDAY ?X),enclisis,Adv-V-DO, ?Z,1,0.82,1,1,1
nada me deram, (NOTHING ?Z) (PERSON ?W) (ME ?W) (GIVE ?X) (GIVEE ?X ?W) (GIVER ?X ?ACTOR) (GIFT ?X ?Z)  (ACT-DONE-BY-THEM ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (BEFORE ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?Z),fronted focus,DO-IO-V, ?Z,0.8,0.8,0.769230769,1,1
alguem me ajudou, (SOMEBODY ?ACTOR) (TOPIC ?X ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (HELPER ?X ?ACTOR) (HELPED ?X ?W) (HELP ?X) (PERSON ?W) (ME ?W),undefined-subject,S-DO-V, ?W,0.82,0.56,1,1,1
ninguem o ajudou,  (NOBODY ?ACTOR) (TOPIC ?X ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (HELPER ?X ?ACTOR) (HELPED ?X ?W) (HELP ?X) (PERSON ?W) (HIM ?W),undefined-subject,S-DO-V, ?W,0.38,0.27,0.909090909,0.666666667,1
alguem as ofereceu,  (SOMEBODY ?ACTOR) (TOPIC ?X ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (OFFERER ?X ?ACTOR) (OFFERANCE ?X ?Z) (OFFER ?X) (OFFEREE ?X ?W) (PHYSICAL-OBJECT ?Z) (THEY-FEMININE ?Z),undefined-subject,S-DO-V, ?Z,0.36,0.47,0.769230769,1,1
a maria viu o,  (MARIA ?ACTOR) (PERSON ?ACTOR) (TOPIC ?X ?ACTOR) (UNIQUE ?ACTOR) (BEFORE ?EVENT ?ORIGO) (DEICTIC-TIME-POINT ?ORIGO) (ACT-DONE-BY-HIM/HER ?EVENT ?ACTOR) (SEER ?X ?ACTOR) (SEEN ?X ?Z) (SEE ?X) (PHYSICAL-OBJECT ?Z) (HIM ?Z),enclisis,S-V-DO, ?Z,0.34,0.42,1,1,1
tu compras o bolo,  (YOU ?ACTOR) (PERSON ?ACTOR) (TOPIC ?X ?ACTOR) (UNIQUE ?Z) (CAKE ?Z) (SINGLE ?Z) (BUY ?X) (BOUGHT ?X ?Z) (BUYER ?X ?ACTOR) (ACT-DONE-BY-YOU ?EVENT ?ACTOR) (DEICTIC-TIME-POINT ?ORIGO) (OVERLAPS ?EVENT ?ORIGO) (PREDICATE-FOCUS ?X ?Z),enclisis,S-V-DO;; 0.69 ,0.58,,,1,N/A,1
