form;label;lemma;lex-class;definiteness;gender;number;meaning;downward;floating
o;lex;;article;+;;;unique;;
o;morph;o;article;+;masculine;singular;;;
os;morph;o;article;+;masculine;plural;;;
as;morph;o;article;+;feminine;plural;;;
a;morph;o;article;+;feminine;singular;;;
um;lex;;article;-;;;not-unique;;
uma;morph;um;article;-;feminine;singular;;;
um;morph;um;article;-;masculine;singular;;;
uns;morph;um;article;-;feminine;singular;;;
umas;morph;um;article;-;masculine;singular;;;
este;lex;;demonstrative;;;;referent-nearby;;
este;morph;este;demonstrative;;masculine;singular;;;
estes;morph;este;demonstrative;;masculine;plural;;;
esta;morph;este;demonstrative;;feminine;singular;;;
estas;morph;este;demonstrative;;feminine;plural;;;
deste;lex;;demonstrative;;;;referent-nearby source;;
deste;morph;deste;demonstrative;;masculine;singular;;;
destes;morph;deste;demonstrative;;masculine;plural;;;
desta;morph;deste;demonstrative;;feminine;singular;;;
destas;morph;deste;demonstrative;;feminine;plural;;;
algum;lex;;quantifier;;;;some;-;-
algum;morph;algum;quantifier;;masculine;singular;;-;-
alguma;morph;algum;quantifier;;feminine;singular;;-;-
alguns;morph;algum;quantifier;;masculine;plural;;-;-
algumas;morph;algum;quantifier;;feminine;plural;;-;-
todo;lex;;universal-quantifier;;;;all;;
todos;morph;todo;universal-quantifier;;masculine;plural;;;
todas;morph;todo;universal-quantifier;;feminine;plural;;;
pouco;lex;;quantifier;;;;few;+;+
poucas;morph;pouco;quantifier;;feminine;plural;;+;+
pouco;morph;pouco;quantifier;;masculine;singular;;+;+
poucos;morph;pouco;quantifier;;masculine;plural;;+;+
muito;lex;;quantifier;;;;many;-;+
muitos;morph;muito;quantifier;;masculine;plural;;-;+
muitas;morph;muito;quantifier;;feminine;plural;;-;+
quanto;lex;quanto;quantifier;;;;how-many;+;+
quantos;morph;quanto;quantifier;;masculine;plural;;+;+
meu;lex;;possesive;;;;possessor first-person;;
meu;morph;meu;possesive;;masculine;singular;;;
