dar;infinitive;irregular;reflexive;transfer;(give giver gift givee);;;;;;;;;;;;;;;;;;;;;;;;;;;;;; INFINITIVE VERBS 
querer,infinitive,irregular,reflexive,desire,(want wanter wanted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ler,infinitive,irregular,non-reflexive,read,(read reader read-object readee),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
achar,infinitive,ar,non-reflexive,guess,(guess guesser guessed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entregar,infinitive,ar,reflexive,deliver,(deliver deliverer delived),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
contar,infinitive,ar,reflexive,tell,(tell teller telling tellee),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
magoar,infinitive,ar,reflexive,hurt,(hurt hurter hurting hurtee),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ficar,infinitive,ar,reflexive,stay,(stay stayer staying stayee),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
convidar,infinitive,ar,reflexive,invite,(invite inviter invitation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
telefonar,infinitive,ar,non-reflexive,call,(call caller call callee),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
pensar,infinitive,ar,non-reflexive,think,(think thinker thinking thinkee),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
encontrar,infinitive,ar,reflexive,find,(find finder finding),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
saber,infinitive,irregular,reflexive,know,(know knower knowledge),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lembrar,infinitive,ar,reflexive,remember,(remember rememberer remembrance remembree),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ver,infinitive,irregular,reflexive,see,(see seer seen seee),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
procurar,infinitive,ar,reflexive,search,(search searcher searching searchee),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
oferecer,infinitive,er,reflexive,offer,(offer offerer offerance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dizer,infinitive,irregular,reflexive,say,(say sayer saying sayee),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
por,infinitive,irregular,reflexive,put,(put putter putted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ajudar,infinitive,ar,non-reflexive,help,(help helper helping helped),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
incentivar,infinitive,ar,non-reflexive,incentivate,(incentivate incentivater incentivating),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ter,infinitive,irregular,reflexive,own,(own owner owned ownee),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
acontecer,infinitive,er,non-reflexive,happen,(happen happener happened),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ganhar,infinitive,ar,non-reflexive,win,(win winner winned winnee),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
comprar,infinitive,ar,non-reflexive,buy,(buy buyer buyed),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
visitar,infinitive,ar,non-reflexive,visit,(visit visiter visited visitee),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
perguntar,infinitive,ar,non-reflexive,ask,(ask asked asked askee),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
acabar,infinitive,ar,reflexive,finish,(finish finisher finished finishee),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vir,infinitive,irregular,non-reflexive,come,(come comer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, VERBS MORPHEMES ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
querias,verb-morpheme,querer,2,singular,past,imperfect,indicative,desire,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dei,verb-morpheme,dar,1,singular,past,perfect,indicative,transfer,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
deu,verb-morpheme,dar,3,singular,past,perfect,indicative,transfer,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
deste,verb-morpheme,dar,2,singular,past,imperfect,indicative,transfer,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
leem,verb-morpheme,ler,3,plural,present,,indicative,read,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
leio,verb-morpheme,ler,1,singular,present,,indicative,read,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
dou,verb-morpheme,dar,1,singular,present,,indicative,transfer,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
encontrou,verb-morpheme,encontrar,3,singular,past,perfect,indicative,find,ar,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
procurou,verb-morpheme,procurar,3,singular,past,perfect,indicative,search,ar,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
deram,verb-morpheme,dar,3,plural,past,perfect,indicative,transfer,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sei,verb-morpheme,saber,1,singular,present,,indicative,know,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
encontrara,verb-morpheme,encontrar,3,singular,future,,indicative,find,ar,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
viu,verb-morpheme,ver,3,singular,past,perfect,indicative,see,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
disseram,verb-morpheme,dizer,3,plural,past,perfect,indicative,say,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lembro,verb-morpheme,lembrar,1,singular,present,,indicative,remember,ar,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
viram,verb-morpheme,ver,3,plural,past,perfect,indicative,see,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ofereceram,verb-morpheme,oferecer,3,plural,past,perfect,indicative,offer,er ,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
disse,verb-morpheme,dizer,1,singular,past,perfect,indicative,say,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
disse,verb-morpheme,dizer,3,singular,past,perfect,indicative,say,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tem,verb-morpheme,ter,3,singular,present,,indicative,own,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
teem,verb-morpheme,ter,3,plural,present,,indicative,own,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
poe,verb-morpheme,por,3,singular,present,,indicative,put,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ajudou,verb-morpheme,ajudar,3,singular,past,perfect,indicative,help,ar ,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
incentivou,verb-morpheme,incentivar,3,singular,past,perfect,indicative,incentivate,ar,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
acho,verb-morpheme,achar,1,singular,present,,indicative,guess,ar,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
leram,verb-morpheme,ler,3,plural,past,perfect,indicative,read,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
saiba,verb-morpheme,saber,1,singular,present,,conjuntive,know,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tens,verb-morpheme,ter,2,singular,present,,indicative,own,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
entregaste,verb-morpheme,entregar,2,singular,past,perfect,indicative,deliver,ar,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
sabe,verb-morpheme,saber,3,singular,present,,indicative,know,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
contaste,verb-morpheme,contar,2,singular,past,perfect,indicative,tell,ar,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ve,verb-morpheme,ver,3,singular,present,,indicative,see,irregular,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
magoou,verb-morpheme,magoar,3,singular,past,perfect,indicative,hurt,ar,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ficou,verb-morpheme,ficar,3,singular,past,perfect,indicative,stay,ar,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
convidou,verb-morpheme,convidar,3,singular,past,perfect,indicative,invite,ar,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
contamos,verb-morpheme,contar,1,plural,past,perfect,indicative,tell,ar,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
contamos,verb-morpheme,contar,1,plural,present,,indicative,tell,ar,,,,,,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
